player,squad,position,games,minutes,minutes_90s,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc,pen_conv
Tammy Abraham,Chelsea,FW,34.0,2215.0,24.6,0.0,2.0,0.0,0.61,0.12,0.73,0.73,0.59,0.1,0.7,0.59,0.7,0.4,7.5,153.0,4.5,20.4,0.0
Che Adams,Southampton,FW,30.0,1111.0,12.3,0.0,0.0,0.0,0.32,0.16,0.49,0.49,0.34,0.1,0.44,0.34,0.44,-0.2,6.0,78.0,2.6,13.0,0.0
Sergio Agüero,Manchester City,FW,24.0,1452.0,16.1,3.0,1.0,0.0,0.99,0.19,1.18,1.05,0.85,0.15,1.0,0.71,0.86,2.2,10.5,132.0,5.5,12.571428571428571,0.6666666666666666
Dele Alli,Tottenham,"MF,FW",25.0,1847.0,20.5,1.0,2.0,0.0,0.39,0.19,0.58,0.54,0.34,0.1,0.43,0.3,0.39,1.1,8.0,117.0,4.68,14.625,1.0
Miguel Almirón,Newcastle Utd,"MF,FW",36.0,3021.0,33.6,0.0,5.0,0.0,0.12,0.06,0.18,0.18,0.19,0.04,0.23,0.19,0.23,-2.4,6.0,109.0,3.0277777777777777,18.166666666666668,0.0
Felipe Anderson,West Ham,"MF,FW",25.0,1497.0,16.6,0.0,1.0,0.0,0.06,0.24,0.3,0.3,0.15,0.18,0.32,0.15,0.32,-1.5,6.5,66.0,2.64,10.153846153846153,0.0
Michail Antonio,West Ham,FW,24.0,1768.0,19.6,1.0,3.0,0.0,0.51,0.15,0.66,0.61,0.59,0.14,0.73,0.55,0.69,-1.6,6.5,111.0,4.625,17.076923076923077,1.0
Stuart Armstrong,Southampton,MF,30.0,1715.0,19.1,0.0,4.0,0.0,0.26,0.16,0.42,0.42,0.15,0.06,0.21,0.15,0.21,2.2,5.5,98.0,3.2666666666666666,17.818181818181817,0.0
Christian Atsu,Newcastle Utd,"FW,MF",19.0,749.0,8.3,0.0,2.0,0.0,0.0,0.36,0.36,0.36,0.02,0.11,0.13,0.02,0.13,-0.2,8.5,127.0,6.684210526315789,14.941176470588236,0.0
Pierre-Emerick Aubameyang,Arsenal,FW,36.0,3136.0,34.8,2.0,3.0,1.0,0.63,0.09,0.72,0.66,0.45,0.09,0.54,0.41,0.49,6.3,12.0,205.0,5.694444444444445,17.083333333333332,1.0
