player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Patrick van Aanholt,DF,Crystal Palace,29.0,2507.0,0.0,0.0,0.11,0.07,0.18,0.08,0.11,0.2,40.7,27.7,0.6274509803921569,170.0,5.5,109.0,3.7586206896551726,19.818181818181817
Nathan Aké,DF,Bournemouth,29.0,2503.0,2.0,0.0,0.07,0.07,0.14,0.09,0.02,0.11,29.2,29.7,0.44,268.0,4.0,0.0,0.0,0.0
Toby Alderweireld,DF,Tottenham,33.0,2957.0,7.0,0.0,0.06,0.06,0.12,0.03,0.03,0.07,38.9,32.2,0.5454545454545454,324.0,5.5,97.0,2.9393939393939394,17.636363636363637
Trent Alexander-Arnold,DF,Liverpool,38.0,3175.0,5.0,0.0,0.11,0.37,0.48,0.08,0.27,0.36,40.0,32.0,0.43103448275862066,197.0,7.5,210.0,5.526315789473684,28.0
Marcos Alonso,DF,Chelsea,18.0,1430.0,4.0,0.0,0.25,0.13,0.38,0.13,0.13,0.26,17.9,40.9,0.7037037037037037,98.0,6.0,100.0,5.555555555555555,16.666666666666668
Serge Aurier,DF,Tottenham,33.0,2700.0,4.0,1.0,0.03,0.17,0.2,0.02,0.1,0.12,52.5,29.4,0.5612244897959183,206.0,5.5,124.0,3.757575757575758,22.545454545454547
César Azpilicueta,DF,Chelsea,36.0,3229.0,1.0,0.0,0.06,0.17,0.22,0.07,0.16,0.23,50.0,32.7,0.5980392156862745,293.0,6.0,130.0,3.611111111111111,21.666666666666668
Eric Bailly,DF,Manchester Utd,4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,13.0,5.0,9.0,2.25,1.8
Fabián Balbuena,DF,West Ham,17.0,1177.0,2.0,0.0,0.08,0.0,0.08,0.14,0.0,0.14,23.1,34.5,0.6111111111111112,146.0,4.5,40.0,2.3529411764705883,8.88888888888889
George Baldock,DF,Sheffield Utd,38.0,3420.0,7.0,0.0,0.05,0.08,0.13,0.02,0.07,0.09,52.1,28.0,0.6081081081081081,187.0,5.5,142.0,3.736842105263158,25.818181818181817
Phil Bardsley,DF,Burnley,21.0,1890.0,6.0,0.0,0.0,0.05,0.05,0.01,0.03,0.05,54.5,27.8,0.6,160.0,4.5,78.0,3.7142857142857144,17.333333333333332
Chris Basham,DF,Sheffield Utd,38.0,3242.0,4.0,0.0,0.0,0.03,0.03,0.01,0.03,0.04,40.5,32.5,0.5952380952380952,394.0,5.0,123.0,3.236842105263158,24.6
Jan Bednarek,DF,Southampton,34.0,3057.0,4.0,0.0,0.03,0.03,0.06,0.03,0.0,0.03,43.8,31.8,0.5428571428571428,464.0,4.5,84.0,2.4705882352941178,18.666666666666668
Héctor Bellerín,DF,Arsenal,15.0,1158.0,2.0,0.0,0.08,0.0,0.08,0.04,0.03,0.06,29.0,25.1,0.6956521739130435,80.0,5.0,44.0,2.933333333333333,8.8
Bernardo,DF,Brighton,14.0,679.0,1.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,63.2,34.1,0.5714285714285714,48.0,4.0,21.0,1.5,5.25
Ryan Bertrand,DF,Southampton,32.0,2742.0,3.0,1.0,0.03,0.03,0.07,0.05,0.12,0.17,34.5,36.9,0.5833333333333334,159.0,5.0,75.0,2.34375,15.0
Willy Boly,DF,Wolves,22.0,1979.0,3.0,1.0,0.0,0.05,0.05,0.01,0.02,0.03,47.9,37.3,0.6557377049180327,225.0,5.5,97.0,4.409090909090909,17.636363636363637
Jarrad Branthwaite,DF,Everton,4.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,48.5,1.0,23.0,4.0,11.0,2.75,2.75
Dan Burn,DF,Brighton,34.0,2880.0,5.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,42.9,35.3,0.5714285714285714,252.0,4.5,86.0,2.5294117647058822,19.11111111111111
Gary Cahill,DF,Crystal Palace,25.0,2167.0,1.0,0.0,0.0,0.04,0.04,0.05,0.01,0.06,40.0,33.0,0.6666666666666666,197.0,4.5,70.0,2.8,15.555555555555555
João Cancelo,DF,Manchester City,17.0,1208.0,4.0,0.0,0.0,0.0,0.0,0.04,0.13,0.17,40.9,33.9,0.5909090909090909,61.0,5.5,45.0,2.6470588235294117,8.181818181818182
Calum Chambers,DF,Arsenal,14.0,1102.0,5.0,0.0,0.08,0.08,0.16,0.06,0.06,0.12,75.0,35.7,0.72,97.0,4.5,42.0,3.0,9.333333333333334
Ben Chilwell,DF,Leicester City,27.0,2373.0,3.0,0.0,0.11,0.11,0.23,0.04,0.13,0.17,32.2,28.0,0.5098039215686274,174.0,5.5,114.0,4.222222222222222,20.727272727272727
Andreas Christensen,DF,Chelsea,21.0,1751.0,5.0,0.0,0.0,0.0,0.0,0.04,0.06,0.09,45.8,36.5,0.4878048780487805,157.0,5.0,34.0,1.619047619047619,6.8
Ciaran Clark,DF,Newcastle Utd,14.0,1186.0,3.0,0.0,0.15,0.0,0.15,0.1,0.0,0.1,42.9,36.1,0.5454545454545454,136.0,4.5,49.0,3.5,10.88888888888889
