player,squad,position,games,minutes,minutes_90s,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,xg_net,cost,points,ppg,ppc
Tammy Abraham,Chelsea,FW,34.0,2215.0,24.6,0.0,0.0,2.0,0.0,0.61,0.12,0.73,0.73,0.59,0.1,0.7,0.59,0.7,0.4,7.4,1.0,0.029411764705882353,0.13513513513513511
Che Adams,Southampton,FW,30.0,1111.0,12.3,0.0,0.0,0.0,0.0,0.32,0.16,0.49,0.49,0.34,0.1,0.44,0.34,0.44,-0.2,5.9,3.0,0.1,0.5084745762711864
Sergio Agüero,Manchester City,FW,24.0,1452.0,16.1,2.0,3.0,1.0,0.0,0.99,0.19,1.18,1.05,0.85,0.15,1.0,0.71,0.86,2.2,10.4,0.0,0.0,0.0
Dele Alli,Tottenham,"MF,FW",25.0,1847.0,20.5,1.0,1.0,2.0,0.0,0.39,0.19,0.58,0.54,0.34,0.1,0.43,0.3,0.39,1.1,7.8,1.0,0.04,0.12820512820512822
Miguel Almirón,Newcastle Utd,"MF,FW",36.0,3021.0,33.6,0.0,0.0,5.0,0.0,0.12,0.06,0.18,0.18,0.19,0.04,0.23,0.19,0.23,-2.4,6.0,5.0,0.1388888888888889,0.8333333333333334
Felipe Anderson,West Ham,"MF,FW",25.0,1497.0,16.6,0.0,0.0,1.0,0.0,0.06,0.24,0.3,0.3,0.15,0.18,0.32,0.15,0.32,-1.5,6.4,2.0,0.08,0.3125
Michail Antonio,West Ham,FW,24.0,1768.0,19.6,1.0,1.0,3.0,0.0,0.51,0.15,0.66,0.61,0.59,0.14,0.73,0.55,0.69,-1.6,6.4,8.0,0.3333333333333333,1.25
Stuart Armstrong,Southampton,MF,30.0,1715.0,19.1,0.0,0.0,4.0,0.0,0.26,0.16,0.42,0.42,0.15,0.06,0.21,0.15,0.21,2.2,5.5,2.0,0.06666666666666667,0.36363636363636365
Christian Atsu,Newcastle Utd,"FW,MF",19.0,749.0,8.3,0.0,0.0,2.0,0.0,0.0,0.36,0.36,0.36,0.02,0.11,0.13,0.02,0.13,-0.2,8.4,0.0,0.0,0.0
Pierre-Emerick Aubameyang,Arsenal,FW,36.0,3136.0,34.8,2.0,2.0,3.0,1.0,0.63,0.09,0.72,0.66,0.45,0.09,0.54,0.41,0.49,6.3,12.0,12.0,0.3333333333333333,1.0
Jordan Ayew,Crystal Palace,"FW,MF",37.0,3148.0,35.0,0.0,0.0,6.0,0.0,0.26,0.06,0.31,0.31,0.18,0.05,0.24,0.18,0.24,2.7,6.0,7.0,0.1891891891891892,1.1666666666666667
Ross Barkley,Chelsea,MF,21.0,1103.0,12.3,0.0,0.0,0.0,0.0,0.08,0.33,0.41,0.41,0.17,0.22,0.4,0.17,0.4,-1.1,6.0,2.0,0.09523809523809523,0.3333333333333333
Ashley Barnes,Burnley,FW,19.0,1352.0,15.0,1.0,1.0,4.0,0.0,0.4,0.0,0.4,0.33,0.37,0.03,0.41,0.32,0.36,0.4,6.0,0.0,0.0,0.0
