player,position,squad,games,minutes,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,xg_per90,xa_per90,xg_xa_per90,dribble_tackles_pct,pressure_regain_pct,tackle_perc,block_int_clear,cost,points,ppg,ppc
Patrick van Aanholt,DF,Crystal Palace,29.0,2507.0,0.0,0.0,0.11,0.07,0.18,0.08,0.11,0.2,40.7,27.7,0.6274509803921569,170.0,5.5,0.0,0.0,0.0
Nathan Aké,DF,Bournemouth,29.0,2503.0,2.0,0.0,0.07,0.07,0.14,0.09,0.02,0.11,29.2,29.7,0.44,268.0,5.5,2.0,0.06896551724137931,0.36363636363636365
Toby Alderweireld,DF,Tottenham,33.0,2957.0,7.0,0.0,0.06,0.06,0.12,0.03,0.03,0.07,38.9,32.2,0.5454545454545454,324.0,5.5,2.0,0.06060606060606061,0.36363636363636365
Trent Alexander-Arnold,DF,Liverpool,38.0,3175.0,5.0,0.0,0.11,0.37,0.48,0.08,0.27,0.36,40.0,32.0,0.43103448275862066,197.0,7.5,8.0,0.21052631578947367,1.0666666666666667
Marcos Alonso,DF,Chelsea,18.0,1430.0,4.0,0.0,0.25,0.13,0.38,0.13,0.13,0.26,17.9,40.9,0.7037037037037037,98.0,6.0,3.0,0.16666666666666666,0.5
Serge Aurier,DF,Tottenham,33.0,2700.0,4.0,1.0,0.03,0.17,0.2,0.02,0.1,0.12,52.5,29.4,0.5612244897959183,206.0,5.4,0.0,0.0,0.0
César Azpilicueta,DF,Chelsea,36.0,3229.0,1.0,0.0,0.06,0.17,0.22,0.07,0.16,0.23,50.0,32.7,0.5980392156862745,293.0,5.9,1.0,0.027777777777777776,0.1694915254237288
Eric Bailly,DF,Manchester Utd,4.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,13.0,5.0,0.0,0.0,0.0
Fabián Balbuena,DF,West Ham,17.0,1177.0,2.0,0.0,0.08,0.0,0.08,0.14,0.0,0.14,23.1,34.5,0.6111111111111112,146.0,4.5,0.0,0.0,0.0
George Baldock,DF,Sheffield Utd,38.0,3420.0,7.0,0.0,0.05,0.08,0.13,0.02,0.07,0.09,52.1,28.0,0.6081081081081081,187.0,5.5,3.0,0.07894736842105263,0.5454545454545454
Phil Bardsley,DF,Burnley,21.0,1890.0,6.0,0.0,0.0,0.05,0.05,0.01,0.03,0.05,54.5,27.8,0.6,160.0,4.5,-1.0,-0.047619047619047616,-0.2222222222222222
Chris Basham,DF,Sheffield Utd,38.0,3242.0,4.0,0.0,0.0,0.03,0.03,0.01,0.03,0.04,40.5,32.5,0.5952380952380952,394.0,5.0,3.0,0.07894736842105263,0.6
Jan Bednarek,DF,Southampton,34.0,3057.0,4.0,0.0,0.03,0.03,0.06,0.03,0.0,0.03,43.8,31.8,0.5428571428571428,464.0,4.5,1.0,0.029411764705882353,0.2222222222222222
Héctor Bellerín,DF,Arsenal,15.0,1158.0,2.0,0.0,0.08,0.0,0.08,0.04,0.03,0.06,29.0,25.1,0.6956521739130435,80.0,5.0,7.0,0.4666666666666667,1.4
Bernardo,DF,Brighton,14.0,679.0,1.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,63.2,34.1,0.5714285714285714,48.0,4.0,0.0,0.0,0.0
Ryan Bertrand,DF,Southampton,32.0,2742.0,3.0,1.0,0.03,0.03,0.07,0.05,0.12,0.17,34.5,36.9,0.5833333333333334,159.0,5.0,1.0,0.03125,0.2
Willy Boly,DF,Wolves,22.0,1979.0,3.0,1.0,0.0,0.05,0.05,0.01,0.02,0.03,47.9,37.3,0.6557377049180327,225.0,5.5,7.0,0.3181818181818182,1.2727272727272727
