player,nationality,position,squad,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
Adrián,es ESP,GK,Liverpool,32,1987,11.0,9.0,875.0,10.0,1.03,28.0,17.0,0.643,9.0,0.0,0.0,2.0,22.2,0.0,0.0,0.0,0.0,9.7,1.0,1.0,0.0,8.7,0.31,-1.3,-0.13,60.0,142.0,42.3,246.0,49.0,44.3,38.3,68.0,48.5,40.4,91.0,8.0,8.8,7.0,0.72,13.3
Alisson,br BRA,GK,Liverpool,26,1992,29.0,29.0,2543.0,23.0,0.81,79.0,58.0,0.722,23.0,3.0,3.0,13.0,44.8,1.0,1.0,0.0,0.0,28.3,0.0,1.0,1.0,22.8,0.28,0.8,0.03,138.0,255.0,54.1,755.0,132.0,24.9,31.7,170.0,39.4,38.8,197.0,16.0,8.1,37.0,1.31,17.5
Kepa Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,33.0,2970.0,47.0,1.42,99.0,55.0,0.545,18.0,4.0,11.0,8.0,24.2,2.0,2.0,0.0,0.0,33.0,2.0,8.0,2.0,35.4,0.35,-9.6,-0.29,143.0,334.0,42.8,887.0,145.0,28.2,31.8,199.0,42.2,39.1,236.0,17.0,7.2,21.0,0.64,16.0
Claudio Bravo,cl CHI,GK,Manchester City,36,1983,4.0,3.0,347.0,7.0,1.82,15.0,8.0,0.533,2.0,0.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,4.0,0.27,-3.0,-0.78,19.0,47.0,40.4,104.0,13.0,27.9,31.5,28.0,64.3,48.2,35.0,3.0,8.6,1.0,0.26,12.4
Willy Caballero,ar ARG,GK,Chelsea,37,1981,5.0,5.0,450.0,7.0,1.4,16.0,10.0,0.563,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,5.6,0.35,-0.4,-0.07,32.0,74.0,43.2,137.0,15.0,45.3,35.8,28.0,42.9,36.8,20.0,0.0,0.0,2.0,0.4,12.4
Martin Dúbravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,38.0,3420.0,58.0,1.53,190.0,134.0,0.705,11.0,11.0,16.0,11.0,28.9,2.0,2.0,0.0,0.0,38.0,2.0,11.0,2.0,66.0,0.34,10.0,0.26,295.0,778.0,37.9,756.0,121.0,63.6,48.4,337.0,88.1,64.5,384.0,20.0,5.2,14.0,0.37,12.3
Ederson,br BRA,GK,Manchester City,25,1993,35.0,35.0,3071.0,28.0,0.82,92.0,65.0,0.728,24.0,3.0,8.0,16.0,45.7,3.0,3.0,0.0,0.0,34.1,1.0,4.0,1.0,29.4,0.3,2.4,0.07,128.0,249.0,51.4,924.0,161.0,21.9,29.7,139.0,33.8,35.1,174.0,12.0,6.9,37.0,1.08,17.6
Łukasz Fabiański,pl POL,GK,West Ham,34,1985,25.0,25.0,2117.0,34.0,1.45,98.0,69.0,0.684,8.0,7.0,10.0,5.0,20.0,4.0,3.0,1.0,0.0,23.5,1.0,2.0,2.0,30.0,0.27,-2.0,-0.08,220.0,506.0,43.5,478.0,90.0,68.8,49.8,194.0,91.2,63.9,241.0,10.0,4.1,5.0,0.21,11.7
Ralf Fährmann,de GER,GK,Norwich City,30,1988,1.0,1.0,21.0,1.0,4.29,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,1.1,0.11,0.1,0.42,1.0,3.0,33.3,7.0,2.0,42.9,29.7,3.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,7.0
Ben Foster,eng ENG,GK,Watford,36,1983,38.0,38.0,3420.0,64.0,1.68,166.0,109.0,0.663,8.0,10.0,20.0,9.0,23.7,9.0,8.0,1.0,0.0,38.0,3.0,7.0,3.0,58.3,0.31,-2.7,-0.07,322.0,975.0,33.0,910.0,122.0,77.4,54.3,292.0,92.8,67.6,366.0,37.0,10.1,43.0,1.13,15.6
